id,image_url
p-26b_35,https://static.encyclopedia.warthunder.com/slots/p-26b_35.png
p-400,https://static.encyclopedia.warthunder.com/slots/p-400.png
p-38_group,https://static.encyclopedia.warthunder.com/slots/p-38_group.png
p-38e,https://static.encyclopedia.warthunder.com/slots/p-38e.png
p-38g,https://static.encyclopedia.warthunder.com/slots/p-38g.png
p-39_group,https://static.encyclopedia.warthunder.com/slots/p-39_group.png
p-39n,https://static.encyclopedia.warthunder.com/slots/p-39n.png
p-39q_5,https://static.encyclopedia.warthunder.com/slots/p-39q_5.png
p-63a-5,https://static.encyclopedia.warthunder.com/slots/p-63a-5.png
p-63_group,https://static.encyclopedia.warthunder.com/slots/p-63_group.png
p-63a-10,https://static.encyclopedia.warthunder.com/slots/p-63a-10.png
p-63c-5,https://static.encyclopedia.warthunder.com/slots/p-63c-5.png
p-38_late_group,https://static.encyclopedia.warthunder.com/slots/p-38_late_group.png
p-38j,https://static.encyclopedia.warthunder.com/slots/p-38j.png
p-38l,https://static.encyclopedia.warthunder.com/slots/p-38l.png
f-82e,https://static.encyclopedia.warthunder.com/slots/f-82e.png
f-80a,https://static.encyclopedia.warthunder.com/slots/f-80a.png
f-80,https://static.encyclopedia.warthunder.com/slots/f-80.png
f-104_group,https://static.encyclopedia.warthunder.com/slots/f-104_group.png
f-104a,https://static.encyclopedia.warthunder.com/slots/f-104a.png
f-104c,https://static.encyclopedia.warthunder.com/slots/f-104c.png
f-5e,https://static.encyclopedia.warthunder.com/slots/f-5e.png
f_16_group,https://static.encyclopedia.warthunder.com/slots/f_16_group.png
f_16a_block_10,https://static.encyclopedia.warthunder.com/slots/f_16a_block_10.png
f_16a_block_15_adf,https://static.encyclopedia.warthunder.com/slots/f_16a_block_15_adf.png
f_16c_block_50,https://static.encyclopedia.warthunder.com/slots/f_16c_block_50.png
p-36a,https://static.encyclopedia.warthunder.com/slots/p-36a.png
p-36c,https://static.encyclopedia.warthunder.com/slots/p-36c.png
p-36g,https://static.encyclopedia.warthunder.com/slots/p-36g.png
p-40_group,https://static.encyclopedia.warthunder.com/slots/p-40_group.png
p-40e,https://static.encyclopedia.warthunder.com/slots/p-40e.png
p-40f_10,https://static.encyclopedia.warthunder.com/slots/p-40f_10.png
p-51c-10-nt,https://static.encyclopedia.warthunder.com/slots/p-51c-10-nt.png
p-51_early_group,https://static.encyclopedia.warthunder.com/slots/p-51_early_group.png
p-51_mk1a_usaaf,https://static.encyclopedia.warthunder.com/slots/p-51_mk1a_usaaf.png
p-51d-5,https://static.encyclopedia.warthunder.com/slots/p-51d-5.png
p-47_ealy_group,https://static.encyclopedia.warthunder.com/slots/p-47_ealy_group.png
p-47d_22_re,https://static.encyclopedia.warthunder.com/slots/p-47d_22_re.png
p-47d,https://static.encyclopedia.warthunder.com/slots/p-47d.png
p-47_group,https://static.encyclopedia.warthunder.com/slots/p-47_group.png
p-47d-28,https://static.encyclopedia.warthunder.com/slots/p-47d-28.png
p-47n-15,https://static.encyclopedia.warthunder.com/slots/p-47n-15.png
p-51d-30_usaaf_korea,https://static.encyclopedia.warthunder.com/slots/p-51d-30_usaaf_korea.png
p-51h-5_na,https://static.encyclopedia.warthunder.com/slots/p-51h-5_na.png
f-84_group,https://static.encyclopedia.warthunder.com/slots/f-84_group.png
f-84b,https://static.encyclopedia.warthunder.com/slots/f-84b.png
f-84g,https://static.encyclopedia.warthunder.com/slots/f-84g.png
f_86_group,https://static.encyclopedia.warthunder.com/slots/f-86_group.png
f-86a-5,https://static.encyclopedia.warthunder.com/slots/f-86a-5.png
f-86f-25,https://static.encyclopedia.warthunder.com/slots/f-86f-25.png
f-86f-2,https://static.encyclopedia.warthunder.com/slots/f-86f-2.png
f-100d,https://static.encyclopedia.warthunder.com/slots/f-100d.png
f-4c,https://static.encyclopedia.warthunder.com/slots/f-4c.png
f-4e,https://static.encyclopedia.warthunder.com/slots/f-4e.png
f_15a,https://static.encyclopedia.warthunder.com/slots/f_15a.png
f_15c_msip2,https://static.encyclopedia.warthunder.com/slots/f_15c_msip2.png
bf2c_1,https://static.encyclopedia.warthunder.com/slots/bf2c_1.png
f3f-2,https://static.encyclopedia.warthunder.com/slots/f3f-2.png
f2a-1,https://static.encyclopedia.warthunder.com/slots/f2a-1.png
f2a-3,https://static.encyclopedia.warthunder.com/slots/f2a-3.png
f4f_group,https://static.encyclopedia.warthunder.com/slots/f4f_group.png
f4f-3,https://static.encyclopedia.warthunder.com/slots/f4f-3.png
f4f-4,https://static.encyclopedia.warthunder.com/slots/f4f-4.png
f6f-3,https://static.encyclopedia.warthunder.com/slots/f6f-3.png
f4u_group,https://static.encyclopedia.warthunder.com/slots/f4u_group.png
f4u-1a,https://static.encyclopedia.warthunder.com/slots/f4u-1a.png
f4u-1a_usmc,https://static.encyclopedia.warthunder.com/slots/f4u-1a_usmc.png
f4u-1d,https://static.encyclopedia.warthunder.com/slots/f4u-1d.png
f4u-4,https://static.encyclopedia.warthunder.com/slots/f4u-4.png
f8f1,https://static.encyclopedia.warthunder.com/slots/f8f1.png
f6f-5n,https://static.encyclopedia.warthunder.com/slots/f6f-5n.png
f4u_late_group,https://static.encyclopedia.warthunder.com/slots/f4u_late_group.png
f4u-1c,https://static.encyclopedia.warthunder.com/slots/f4u-1c.png
f4u-4b,https://static.encyclopedia.warthunder.com/slots/f4u-4b.png
f8f1_group,https://static.encyclopedia.warthunder.com/slots/f8f1_group.png
f8f1b,https://static.encyclopedia.warthunder.com/slots/f8f1b.png
f7f1,https://static.encyclopedia.warthunder.com/slots/f7f1.png
f2h-2,https://static.encyclopedia.warthunder.com/slots/f2h-2.png
f9f_group,https://static.encyclopedia.warthunder.com/slots/f9f_group.png
f9f-2,https://static.encyclopedia.warthunder.com/slots/f9f-2.png
f9f-5,https://static.encyclopedia.warthunder.com/slots/f9f-5.png
f9f-8,https://static.encyclopedia.warthunder.com/slots/f9f-8.png
f3h-2,https://static.encyclopedia.warthunder.com/slots/f3h-2.png
f8u-2,https://static.encyclopedia.warthunder.com/slots/f8u-2.png
f-8e,https://static.encyclopedia.warthunder.com/slots/f-8e.png
f-4j,https://static.encyclopedia.warthunder.com/slots/f-4j.png
fa_18a,https://static.encyclopedia.warthunder.com/slots/fa_18a.png
f_14_group,https://static.encyclopedia.warthunder.com/slots/f_14_group.png
f_14a_early,https://static.encyclopedia.warthunder.com/slots/f_14a_early.png
f_14b,https://static.encyclopedia.warthunder.com/slots/f_14b.png
fa_18c_late,https://static.encyclopedia.warthunder.com/slots/fa_18c_late.png
os2u_group,https://static.encyclopedia.warthunder.com/slots/os2u_group.png
os2u_1,https://static.encyclopedia.warthunder.com/slots/os2u_1.png
os2u_3,https://static.encyclopedia.warthunder.com/slots/os2u_3.png
sb2u_group,https://static.encyclopedia.warthunder.com/slots/sb2u_group.png
sb2u-2,https://static.encyclopedia.warthunder.com/slots/sb2u-2.png
sb2u-3,https://static.encyclopedia.warthunder.com/slots/sb2u-3.png
tbf_group,https://static.encyclopedia.warthunder.com/slots/tbf_group.png
tbf-1c,https://static.encyclopedia.warthunder.com/slots/tbf-1c.png
sbd-3,https://static.encyclopedia.warthunder.com/slots/sbd-3.png
p-51_a-36,https://static.encyclopedia.warthunder.com/slots/p-51_a-36.png
a-20g,https://static.encyclopedia.warthunder.com/slots/a-20g.png
sb2c_group,https://static.encyclopedia.warthunder.com/slots/sb2c_group.png
